Latitude,Longitude,WeekTimeline,Week,Time,Week_Time,Week_Time_Sin
37.3838566,127.1122155,812022,Wednesday,08:12,674,0.8628919402536128
37.5908917,127.0230015,1001532,Wednesday,10:01,696,0.8262387743159948
37.5908997,127.0230017,1012382,Wednesday,10:12,698,0.8227113921730335
37.5909052,127.0229996,1017482,Wednesday,10:17,699,0.8209357053342324
37.5908938,127.0230118,1023042,Wednesday,10:23,700,0.8191520442889917
37.5909081,127.0229882,1028222,Wednesday,10:28,701,0.8173604263630061
37.5908936,127.0230065,1033392,Wednesday,10:33,702,0.8155608689592603
37.590891,127.0229853,1038422,Wednesday,10:38,703,0.8137533895578584
37.59091,127.0229906,1044502,Wednesday,10:44,704,0.8119380057158564
37.5908985,127.0230012,1054192,Wednesday,10:54,706,0.8082835953220053
37.5908868,127.023006,1059372,Wednesday,10:59,707,0.8064446042674825
37.5908991,127.0230044,1104522,Wednesday,11:04,708,0.8045977797666682
37.5908955,127.0230058,1110282,Wednesday,11:10,710,0.800880702259028
37.5908846,127.0230112,1119462,Wednesday,11:19,711,0.7990104853582489
37.5908863,127.0230123,1124532,Wednesday,11:24,712,0.7971325072229223
37.5910592,127.0229163,1134292,Wednesday,11:34,714,0.7933533402912352
37.590838,127.0229941,1140092,Wednesday,11:40,716,0.7895433483002354
37.5910261,127.0228371,1145042,Wednesday,11:45,717,0.7876268391214755
37.5909941,127.0228376,1150222,Wednesday,11:50,718,0.7857026792838736
37.5908957,127.0230044,1156342,Wednesday,11:56,719,0.7837708874778678
37.5908935,127.0229987,1201472,Wednesday,12:01,720,0.7818314824680299
37.5910502,127.0228006,1205192,Wednesday,12:05,721,0.7798844830928817
37.5908893,127.0230018,1212212,Wednesday,12:12,722,0.7779299082647149
37.5908899,127.0229941,1217012,Wednesday,12:17,723,0.775967776969405
37.5909131,127.0229969,1221192,Wednesday,12:21,724,0.7739981082662275
37.5909473,127.0227341,1225592,Wednesday,12:25,725,0.7720209212876734
37.5908814,127.0230053,1307302,Wednesday,13:07,733,0.7559350874577061
37.5908911,127.0230116,1313512,Wednesday,13:13,734,0.75389110895078
37.5908369,127.0228928,1321032,Wednesday,13:21,736,0.7497812029677341
37.5908989,127.0229889,1326252,Wednesday,13:26,737,0.7477153154134241
37.5909251,127.0229675,1331422,Wednesday,13:31,738,0.7456421648831657
37.5909027,127.0229915,1336582,Wednesday,13:36,739,0.743561771514626
37.5908956,127.0229894,1348272,Wednesday,13:48,741,0.7393793371649464
37.5908931,127.0229979,1352322,Wednesday,13:52,742,0.7372773368101241
37.590893,127.0229976,1358222,Wednesday,13:58,743,0.7351681748692619
37.5908888,127.0229931,1404192,Wednesday,14:04,744,0.7330518718298261
37.5908994,127.0230116,1408242,Wednesday,14:08,745,0.7309284482486493
37.5909062,127.0229937,1413412,Wednesday,14:13,746,0.7287979247517284
37.5909156,127.0229793,1419092,Wednesday,14:19,747,0.726660322034027
37.5909179,127.0229791,1424152,Wednesday,14:24,748,0.7245156608592724
37.5909018,127.023005,1429312,Wednesday,14:29,749,0.7223639620597556
37.5908925,127.0229907,1435002,Wednesday,14:35,751,0.7180395352571934
37.5910514,127.0228027,1439462,Wednesday,14:39,751,0.7180395352571934
37.5908928,127.0229988,1445572,Wednesday,14:45,753,0.7136872096482122
37.5909961,127.0228178,1454282,Wednesday,14:54,754,0.71150063759473
37.5915497,127.0229415,1500432,Wednesday,15:00,756,0.7071067811865476
37.5915517,127.0229387,1506012,Wednesday,15:06,757,0.7048995395118252
37.5915562,127.0229019,1511192,Wednesday,15:11,758,0.7026854507546689
37.5915475,127.0229386,1516362,Wednesday,15:16,759,0.7004645364217585
37.5915508,127.0229304,1521542,Wednesday,15:21,760,0.6982368180860729
37.59155,127.0229261,1527122,Wednesday,15:27,761,0.6960023173866833
37.5915475,127.0229404,1532292,Wednesday,15:32,762,0.6937610560285414
37.5915495,127.022922,1537472,Wednesday,15:37,763,0.6915130557822694
37.5915484,127.0229346,1543042,Wednesday,15:43,764,0.6892583384839471
37.5915573,127.0228986,1551052,Wednesday,15:51,766,0.6847288404014933
