Latitude,Longitude,WeekTimeline,Week,Time,Week_Time,Week_Time_Sin
37.6689204,127.047192,900005,Saturday,09:00,1548,-0.9937122098932426
37.6604227,127.0507504,905005,Saturday,09:05,1549,-0.9933584290831591
37.6313998,127.0635131,910005,Saturday,09:10,1550,-0.9929949992285395
37.6038356,127.0713021,915005,Saturday,09:15,1551,-0.9926219238595808
37.5778096,127.0768976,920005,Saturday,09:20,1552,-0.9922392066001721
37.5510908,127.0543498,925005,Saturday,09:25,1553,-0.9918468511678595
37.5401969,127.0187188,930005,Saturday,09:30,1554,-0.9914448613738104
37.5164479,126.9836699,935005,Saturday,09:35,1555,-0.9910332411227757
37.5123409,126.9541101,940005,Saturday,09:40,1556,-0.9906119944130528
37.4942659,126.9554623,945005,Saturday,09:45,1557,-0.9901811253364455
37.4821435,126.9532949,950005,Saturday,09:50,1558,-0.989740638078226
