Latitude,Longitude,WeekTimeline
37.6482982,127.2363772,1321002
37.6514484,127.2392081,1322002
37.6529393,127.2400679,1323002
37.6558077,127.2398118,1324002
37.6603083,127.2394991,1325002
37.6635998,127.2373866,1326002
37.6606923,127.2350567,1327002
37.6510159,127.2245993,1328002
37.6496904,127.2130641,1329002
37.6500993,127.1967123,1330002
37.6462577,127.1904242,1331002
37.6468187,127.1831092,1332002
37.6487883,127.1785189,1333002
37.6483415,127.1685021,1334002
37.6474681,127.161513,1335002
37.6517575,127.1621045,1336002
37.6581076,127.1581247,1337002
37.6641967,127.1536544,1338002
37.6704381,127.155095,1339002
37.6767129,127.1659525,1340002
37.6838127,127.1691235,1341002
37.6919355,127.1659398,1342002
37.7012864,127.1676845,1343002
37.7084626,127.1770405,1344002
37.7128732,127.1831379,1345002
37.7150092,127.1837653,1346002
37.7203907,127.1887169,1347002
37.7236912,127.1913856,1348002
37.7259612,127.1908667,1349002
