Latitude,Longitude,WeekTimeline
37.7199684,126.6314769,800001
37.7197595,126.6333436,801001
37.7188479,126.6353807,802001
37.7158269,126.6370121,803001
37.7100946,126.6368892,804001
37.7038915,126.6368477,805001
37.6983516,126.6349336,806001
37.6852608,126.631486,807001
37.6812778,126.6319543,808001
37.6777043,126.6301577,809001
37.6750616,126.6343083,810001
37.6702713,126.6435916,811001
37.6677695,126.6479834,812001
37.6678587,126.6469801,813001
37.6695811,126.6563863,814001
37.6666664,126.6660343,815001
37.6655448,126.6736639,816001
37.6581667,126.6852178,817001
37.6493398,126.7020413,818001
37.6446877,126.712176,819001
37.6397237,126.7231275,820001
37.635043,126.7324789,821001
37.6300627,126.7275663,822001
37.6236828,126.722312,823001
37.6197934,126.7199593,824001
37.6166075,126.7234248,825001
37.6118076,126.7248739,826001
37.6082018,126.7237059,827001
37.6057412,126.7223493,828001
37.6018551,126.7215911,829001
37.6024946,126.7222086,830001
