Latitude,Longitude,WeekTimeline
37.4804987,126.7999349,703002
37.479798,126.7989653,704002
37.4818461,126.7953529,705002
37.4841662,126.7941581,706002
37.4868584,126.7942912,707002
37.4904341,126.793994,708002
37.4965936,126.7957494,709002
37.4992855,126.7970398,710002
37.5049845,126.7972953,711002
37.5098633,126.7984772,712002
37.5118549,126.7999295,713002
37.5155772,126.8030982,714002
37.5169418,126.8006469,715002
37.5191116,126.7982548,716002
37.5206607,126.7957858,717002
37.5230708,126.7950106,718002
37.524514,126.797154,719002
37.5269621,126.7967078,720002
