Latitude,Longitude,WeekTimeline
37.563788,126.9977248,1400002
37.5625148,126.998458,1401002
37.5629914,127.001812,1402002
37.5605915,127.0027745,1403002
37.5590025,127.0034429,1404002
37.5587846,127.0069294,1405002
37.5565393,127.0093059,1406002
37.5543564,127.0108645,1407002
37.5520106,127.0129154,1408002
37.5478486,127.0158643,1409002
37.5423265,127.0168735,1410002
37.5302593,127.0251229,1411002
37.5268016,127.0284778,1412002
37.520709,127.0281597,1413002
37.5167996,127.0294494,1414002
37.5146722,127.0330374,1415002
37.5162564,127.0382102,1416002
37.5175043,127.0429711,1417002
37.5183947,127.0478542,1418002
