Latitude,Longitude,WeekTimeline
37.5772767,126.9825163,1140000
37.5790156,126.9821566,1141000
37.5799045,126.9809466,1142000
37.5826152,126.980221,1143000
37.5838447,126.9765564,1144000
37.5836776,126.9732459,1145000
37.5847224,126.9702427,1146000
37.5872308,126.9696496,1147000
37.5898429,126.9664368,1148000
37.5931939,126.9640058,1149000
37.5963014,126.9639337,1150000
37.5983091,126.9618575,1151000
37.5994396,126.9593254,1152000
37.6010363,126.9596356,1153000
37.6031327,126.9615622,1154000
37.6052993,126.9662868,1155000
37.6064222,126.9692528,1156000
37.6076723,126.9722519,1157000
37.6097026,126.9749851,1158000
37.611583,126.9803118,1159000
37.6116156,126.9919432,1200000
37.6102193,126.9954831,1201000
37.609292,126.9970042,1202000
37.608106,127.0006547,1203000
37.607375,127.0047201,1204000
37.6043898,127.0118807,1205000
37.6032889,127.0161487,1206000
37.6017749,127.02375,1207000
37.6043433,127.0267993,1208000
37.6041247,127.0302866,1209000
37.6022945,127.0358617,1210000
37.6015327,127.0392617,1211000
37.600789,127.0408602,1212000
37.60243,127.0407618,1213000
37.6038096,127.0390686,1214000
