Latitude,Longitude,WeekTimeline
36.9924235,127.1125744,1821001
36.9927572,127.1137414,1822001
36.9902716,127.1150216,1823001
36.9855526,127.1111676,1824001
36.9762464,127.0900721,1825001
36.9797817,127.0728925,1826001
36.9849698,127.0613662,1827001
37.0006228,127.0597702,1828001
37.0032353,127.0576231,1829001
37.0050914,127.0490241,1830001
37.0089548,127.0445086,1831001
37.0125914,127.0398714,1832001
37.0154499,127.0341122,1833001
37.0162575,127.0295242,1834001
37.0175531,127.0183557,1835001
37.0152731,127.0073167,1836001
37.0125695,126.99801,1837001
37.0104652,126.9909424,1838001
37.006666,126.9839125,1839001
37.0070064,126.9778553,1840001
