Latitude,Longitude,WeekTimeline
37.1993551,126.8311408,1757003
37.1999629,126.8296052,1758003
37.1985597,126.8267949,1759003
37.1961138,126.8229135,1800003
37.1935135,126.8218471,1801003
37.1908263,126.8219827,1802003
37.1883048,126.8205147,1803003
37.1869001,126.8148276,1804003
37.1888248,126.8133162,1805003
37.1876481,126.8344189,1806003
37.1893934,126.8574667,1807003
37.1918638,126.8754406,1808003
37.1986417,126.8875758,1809003
37.2038407,126.9009202,1810003
37.2085997,126.9123607,1811003
37.2060519,126.9322426,1812003
37.1989172,126.9461008,1813003
37.1973624,126.953904,1814003
37.1954341,126.9581827,1815003
37.1974306,126.9641022,1816003
37.1972526,126.9716407,1817003
37.1992661,126.9832172,1818003
37.2000963,126.9917609,1819003
37.2000727,126.9995577,1820003
37.2014667,127.0032999,1821003
37.1998216,127.0067599,1822003
37.2010462,127.0116583,1823003
37.2039042,127.0146397,1824003
37.2057327,127.0145299,1825003
