Latitude,Longitude,WeekTimeline
37.5755497,127.0859963,755001
37.5752642,127.0842663,756001
37.5747649,127.0827459,757001
37.5741665,127.0809871,758001
37.5777716,127.0796385,759001
37.5812788,127.0788928,800001
37.5854363,127.0747466,801001
37.5913082,127.0714124,802001
37.5968813,127.0704572,803001
37.5999833,127.0728116,804001
37.6077416,127.0726743,805001
37.6131333,127.0726367,806001
37.6169911,127.0719245,807001
37.6203999,127.0708999,808001
37.6166826,127.0701122,809001
37.614665,127.065332,810001
37.6104331,127.0561124,811001
37.6035806,127.0432278,812001
37.6024247,127.0403245,813001
37.6029498,127.0335749,814001
37.6047288,127.0289675,815001
37.6024333,127.0249749,816001
37.6020578,127.0208366,817001
37.6037081,127.0130996,818001
37.6075073,127.0044689,819001
37.6087033,126.9993115,820001
37.609116,126.9837993,821001
37.603758,126.9694745,822001
37.5968698,126.9626779,823001
37.5961943,126.9553026,824001
37.5955344,126.9510164,825001
37.5930224,126.9454188,826001
37.5912205,126.9409953,827001
37.5871849,126.9354415,828001
37.5818332,126.9372498,829001
37.5777493,126.9306871,830001
37.5712582,126.9205867,831001
37.5689874,126.9155709,832001
37.5701197,126.9136189,833001
37.5736279,126.9161971,834001
37.5772837,126.9207586,835001
37.5768,126.9233999,836001
